date,ticker,close,low,high
19.Oct.16,RUS,121.49,120.5,121.95
18.Oct.16,RUS,120.98,120.66,121.58
17.Oct.16,RUS,120.29,120.16,120.85
14.Oct.16,RUS,120.43,120.4,121.84
13.Oct.16,RUS,120.92,120.11,121.41
12.Oct.16,RUS,121.93,121.53,122.61
11.Oct.16,RUS,122.03,121.34,124.11
10.Oct.16,RUS,124.3,123.56,124.74
07.Oct.16,RUS,122.83,122.23,124.32
06.Oct.16,RUS,123.82,122.82,124.02
05.Oct.16,RUS,123.95,123.65,124.68
04.Oct.16,RUS,123.21,122.65,124.31
03.Oct.16,RUS,123.82,123.13,124.1
30.Sep.16,RUS,124.21,122.86,124.78
29.Sep.16,RUS,122.86,122.7,124.64
28.Sep.16,RUS,124.68,123.07,124.76
27.Sep.16,RUS,123.73,122.81,123.88
26.Sep.16,RUS,123.23,123.1,124.17
23.Sep.16,RUS,124.81,124.81,125.88
22.Sep.16,RUS,125.7,124.66,125.8
21.Sep.16,RUS,123.92,122.1,123.97
20.Sep.16,RUS,122.15,122.15,123.23
19.Sep.16,RUS,122.67,121.99,123.55
16.Sep.16,RUS,121.86,121.1,121.97
15.Sep.16,RUS,122.04,120.51,122.19
14.Sep.16,RUS,120.6,120.29,121.47
13.Sep.16,RUS,120.58,119.88,122.16
12.Sep.16,RUS,122.94,120.58,122.97
09.Sep.16,RUS,121.25,121.21,124.21
08.Sep.16,RUS,125.16,124.77,125.41
07.Sep.16,RUS,125.41,124.48,125.44
06.Sep.16,RUS,124.63,123.97,124.97
02.Sep.16,RUS,124.51,123.63,124.53
01.Sep.16,RUS,123.32,122.02,123.63
31.Aug.16,RUS,123.23,122.55,123.89
30.Aug.16,RUS,123.93,123.38,124.17
29.Aug.16,RUS,123.7,123.24,124.17
26.Aug.16,RUS,123.06,122.3,124.41
25.Aug.16,RUS,123.31,122.61,123.69
24.Aug.16,RUS,123.07,122.77,124.25
23.Aug.16,RUS,124.08,123.61,124.46
22.Aug.16,RUS,123.22,122.33,123.34
19.Aug.16,RUS,122.94,122.28,123.07
18.Aug.16,RUS,122.94,122.04,122.97
17.Aug.16,RUS,122.04,121.33,122.5
16.Aug.16,RUS,122.4,122.26,123.12
15.Aug.16,RUS,123.4,122.43,123.69
12.Aug.16,RUS,122.19,121.63,122.46
11.Aug.16,RUS,122.07,121.57,122.4
10.Aug.16,RUS,121.49,121.15,122.6
09.Aug.16,RUS,122.37,122.14,122.63
08.Aug.16,RUS,122.24,122.03,122.85
05.Aug.16,RUS,122.3,120.97,122.58
04.Aug.16,RUS,120.56,120.26,121.19
03.Aug.16,RUS,120.45,119.1,120.5
02.Aug.16,RUS,119.48,119.1,121.21
01.Aug.16,RUS,121.17,120.44,121.7
29.Jul.16,RUS,121.07,120.05,121.76
28.Jul.16,RUS,120.83,120.53,121.24
27.Jul.16,RUS,121.14,120.35,121.47
26.Jul.16,RUS,120.8,119.92,120.97
25.Jul.16,RUS,120.22,119.76,120.46
22.Jul.16,RUS,120.4,119.35,120.65
21.Jul.16,RUS,119.51,119.25,120.6
20.Jul.16,RUS,120.08,118.94,120.44
19.Jul.16,RUS,119.3,118.93,119.97
18.Jul.16,RUS,119.9,119.33,120.35
